t,Fx,Fy,Fz
62,-414.3857,-0.0005,-39.9332
184,335.9896,0.0049,170.4229
306,-134.5256,0.0088,191.6644
429,-10.6249,0.0897,88.8151
551,63.8871,0.0510,156.1098
674,-59.5827,-0.0303,168.0984
796,100.9154,-0.0090,125.0394
918,3.5411,0.0099,193.9997
1041,25.9866,-0.0047,155.0244
1163,50.0543,-0.0131,153.1563
1285,41.6236,0.0021,158.8157
1408,53.2399,-0.0297,144.8987
1530,35.8716,0.0102,144.2228
1653,39.4148,0.0245,132.7043
1775,43.3398,0.0255,114.4505
1897,41.0530,0.0101,96.0676
2020,44.7385,0.0215,76.2470
2142,39.1405,-0.0153,67.5697
2264,45.1437,-0.0055,67.7508
2387,44.9231,0.0929,80.3582
2509,45.7054,0.0257,98.4876
2632,49.5372,0.0412,97.4414
2754,47.7181,-0.0215,72.2439
2876,51.3286,0.0271,46.2697
2999,49.4000,-0.0402,39.3355
3121,46.4590,-0.0823,45.8000
3243,46.9678,-0.0202,59.3337
3366,45.5132,-0.0914,70.2595
3488,47.7128,-0.0038,64.7780
3611,46.1027,0.0121,42.7016
3733,44.6444,-0.0134,27.6947
3855,45.7214,0.2439,26.6044
3978,42.9009,-0.0880,29.4461
4100,43.7437,-0.0297,33.5565
4222,41.6935,0.3974,29.1702
4345,40.0595,-0.4464,18.2737
4467,41.2537,0.1518,7.3204
4590,40.3688,-0.2668,-0.1768
4712,42.7777,-0.4298,4.2685
4834,42.2590,0.5276,4.3163
4957,40.0993,-0.6092,0.4849
5079,40.1056,0.0502,-6.6846
5202,38.1438,-0.0345,-21.3917
5324,41.5761,-0.5862,-19.4933
5446,42.1978,0.5081,-15.5113
5569,40.8259,-0.6158,-19.9326
5691,41.3606,-0.1114,-23.4846
5813,38.8831,0.6511,-33.5057
5936,39.4635,-0.7404,-37.4578
6058,42.4447,0.6286,-29.5995
6181,40.8234,-0.5415,-26.4431
6303,42.6552,-0.3082,-25.3067
6425,41.5186,0.9934,-32.7930
6548,39.0314,-1.0797,-44.8898
6670,39.6975,0.5869,-53.0991
6792,40.1924,0.6529,-53.3586
6915,42.1929,-0.6236,-43.7105
7037,42.0253,1.1904,-41.4615
7160,39.3685,-1.1633,-49.0033
7282,38.8365,0.4502,-57.9241
7404,38.3931,0.9046,-65.0224
7527,40.0622,-0.8866,-60.1996
7649,40.2530,1.2134,-56.8582
7771,37.1620,-0.2902,-65.8395
7894,38.6639,0.2073,-70.9599
8016,39.7413,0.9049,-66.6943
8139,41.3299,-0.9650,-56.3055
8261,41.5729,1.0564,-52.5760
8383,39.5711,0.0448,-57.2576
8506,38.3993,-0.0841,-65.8245
8628,36.8796,0.9632,-78.7828
8750,38.1348,-1.0122,-78.1306
8873,41.7397,0.9234,-62.3016
8995,40.8271,0.0225,-54.7137
9118,39.7762,-0.1003,-60.0603
9240,38.0434,0.8564,-70.9842
9362,37.6619,-0.9106,-77.6351
9485,39.8064,0.7827,-75.0470
9607,39.3539,0.1534,-71.4764
9729,37.3458,-0.8892,-76.1078
9852,36.9914,0.7700,-82.9313
9974,38.2135,-0.7873,-78.5950
10097,40.2698,0.6833,-66.1730
10219,41.2756,-0.0941,-56.4446
10341,40.0501,-0.7259,-57.6223
10464,38.4011,0.5351,-66.6749
10586,38.2444,-0.9400,-75.3449
10708,40.0957,0.2161,-71.4735
10831,41.9834,-0.3824,-56.5673
10953,40.9348,-0.4362,-52.9015
11076,39.5580,0.4135,-58.0952
11198,37.8621,-0.9145,-68.7298
11320,37.4857,0.5527,-77.4885
11443,39.4215,-0.6224,-73.3893
11565,39.1243,-0.4592,-70.4799
11687,37.2355,0.8802,-75.1689
11810,38.2673,-1.0938,-75.4176
11932,40.1864,0.5934,-64.8384
12055,41.9065,-0.6879,-49.2193
12177,41.6385,-0.4841,-44.9492
12299,39.0886,0.8406,-53.4813
12422,38.9517,-1.0666,-63.7164
12544,38.2741,0.3389,-73.1693
12666,38.9544,0.3698,-69.9882
12789,41.1569,-0.4735,-59.7286
12911,39.5519,0.5317,-57.3984
13034,39.9839,-0.6776,-57.5736
13156,37.3724,-0.0989,-68.2100
13278,36.5599,0.3727,-74.0185
13401,39.3317,-0.3385,-69.0012
13523,37.3516,0.2580,-71.0899
13645,36.8938,-0.0880,-76.4033
13768,39.0333,-0.0957,-73.5737
13890,40.8372,0.2674,-57.5561
14013,42.5086,-0.1789,-42.8225
