t,Fx,Fy,Fz
0.0004, -290.6009,-0.0003,-28.0044
0.0013, 235.6232,0.0034,119.5144
0.0021, -94.3403,0.0062,134.4107
0.0029, -7.4510,0.0629,62.2843
0.0038, 44.8028,0.0358,109.4769
0.0046, -41.7842,-0.0213,117.8843
0.0054, 70.7701,-0.0063,87.6878
0.0063, 2.4833,0.0070,136.0483
0.0071, 18.2239,-0.0033,108.7157
0.0079, 35.1022,-0.0092,107.4057
0.0088, 29.1898,0.0015,111.3745
0.0096, 37.3362,-0.0208,101.6148
0.0104, 25.1561,0.0071,101.1407
0.0113, 27.6409,0.0172,93.0630
0.0121, 30.3934,0.0179,80.2620
0.0129, 28.7897,0.0071,67.3704
0.0138, 31.3743,0.0151,53.4706
0.0146, 27.4485,-0.0108,47.3854
0.0154, 31.6584,-0.0039,47.5123
0.0163, 31.5037,0.0652,56.3537
0.0171, 32.0523,0.0180,69.0675
0.0179, 34.7395,0.0289,68.3338
0.0188, 33.4638,-0.0151,50.6633
0.0196, 35.9958,0.0190,32.4481
0.0204, 34.6433,-0.0282,27.5852
0.0213, 32.5808,-0.0577,32.1187
0.0221, 32.9376,-0.0142,41.6096
0.0229, 31.9176,-0.0641,49.2717
0.0238, 33.4601,-0.0027,45.4276
0.0246, 32.3310,0.0085,29.9458
0.0254, 31.3083,-0.0094,19.4217
0.0263, 32.0635,0.1710,18.6572
0.0271, 30.0856,-0.0617,20.6500
0.0279, 30.6766,-0.0208,23.5326
0.0288, 29.2388,0.2787,20.4565
0.0296, 28.0930,-0.3130,12.8150
0.0304, 28.9304,0.1065,5.1337
0.0313, 28.3099,-0.1871,-0.1240
0.0321, 29.9992,-0.3014,2.9934
0.0329, 29.6354,0.3700,3.0270
0.0338, 28.1209,-0.4272,0.3400
0.0346, 28.1253,0.0352,-4.6878
0.0354, 26.7495,-0.0242,-15.0016
0.0363, 29.1566,-0.4111,-13.6703
0.0371, 29.5925,0.3563,-10.8778
0.0379, 28.6305,-0.4319,-13.9784
0.0388, 29.0054,-0.0781,-16.4693
0.0396, 27.2680,0.4566,-23.4969
0.0404, 27.6750,-0.5192,-26.2684
0.0413, 29.7656,0.4408,-20.7576
0.0421, 28.6287,-0.3798,-18.5441
0.0429, 29.9133,-0.2161,-17.7471
0.0438, 29.1163,0.6966,-22.9971
0.0446, 27.3720,-0.7572,-31.4803
0.0454, 27.8391,0.4116,-37.2374
0.0463, 28.1862,0.4579,-37.4194
0.0471, 29.5891,-0.4373,-30.6533
0.0479, 29.4716,0.8348,-29.0762
0.0488, 27.6084,-0.8158,-34.3651
0.0496, 27.2353,0.3157,-40.6211
0.0504, 26.9244,0.6344,-45.5990
0.0513, 28.0949,-0.6218,-42.2169
0.0521, 28.2287,0.8509,-39.8736
0.0529, 26.0610,-0.2035,-46.1720
0.0538, 27.1143,0.1454,-49.7629
0.0546, 27.8699,0.6346,-46.7714
0.0554, 28.9839,-0.6767,-39.4860
0.0563, 29.1543,0.7408,-36.8706
0.0571, 27.7505,0.0314,-40.1537
0.0579, 26.9287,-0.0590,-46.1615
0.0588, 25.8630,0.6754,-55.2489
0.0596, 26.7432,-0.7098,-54.7916
0.0604, 29.2713,0.6475,-43.6910
0.0613, 28.6313,0.0158,-38.3697
0.0621, 27.8943,-0.0704,-42.1191
0.0629, 26.6792,0.6006,-49.7799
0.0638, 26.4116,-0.6386,-54.4441
0.0646, 27.9155,0.5489,-52.6291
0.0654, 27.5982,0.1076,-50.1250
0.0663, 26.1899,-0.6236,-53.3730
0.0671, 25.9414,0.5400,-58.1582
0.0679, 26.7984,-0.5521,-55.1172
0.0688, 28.2404,0.4792,-46.4059
0.0696, 28.9458,-0.0660,-39.5835
0.0704, 28.0864,-0.5090,-40.4095
0.0713, 26.9300,0.3752,-46.7578
0.0721, 26.8201,-0.6592,-52.8380
0.0729, 28.1184,0.1516,-50.1230
0.0738, 29.4422,-0.2682,-39.6696
0.0746, 28.7068,-0.3059,-37.0988
0.0754, 27.7413,0.2900,-40.7411
0.0763, 26.5520,-0.6413,-48.1989
0.0771, 26.2880,0.3876,-54.3412
0.0779, 27.6456,-0.4364,-51.4666
0.0788, 27.4372,-0.3220,-49.4262
0.0796, 26.1126,0.6172,-52.7146
0.0804, 26.8361,-0.7670,-52.8889
0.0813, 28.1819,0.4162,-45.4699
0.0821, 29.3882,-0.4824,-34.5166
0.0829, 29.2003,-0.3395,-31.5220
0.0838, 27.4121,0.5895,-37.5054
0.0846, 27.3161,-0.7480,-44.6831
0.0854, 26.8409,0.2376,-51.3123
0.0863, 27.3180,0.2593,-49.0814
0.0871, 28.8626,-0.3321,-41.8866
0.0879, 27.7370,0.3728,-40.2525
0.0888, 28.0400,-0.4752,-40.3753
0.0896, 26.2086,-0.0694,-47.8344
0.0904, 25.6388,0.2614,-51.9078
0.0913, 27.5826,-0.2373,-48.3893
0.0921, 26.1940,0.1809,-49.8540
0.0929, 25.8729,-0.0617,-53.5802
0.0938, 27.3733,-0.0671,-51.5959
0.0946, 28.6383,0.1875,-40.3630
0.0954, 29.8105,-0.1255,-30.0306
0.0963, 28.2577,-0.0362,-32.7683
0.0971, 27.3361,-0.0228,-38.7432
0.0979, 26.3859,-0.0718,-47.9436
0.0988, 25.3365,0.0835,-57.3990
0.0996, 26.9565,-0.0656,-55.6355
